Training Iteration,lstmNodes,denseNodes,MSE
3,9,4,11.40426674
4,9,4,11.46594449
5,9,4,11.40580527
6,9,4,11.44189993
1,9,5,11.39697147
2,9,5,11.44520309
3,9,5,11.40303035
4,9,5,11.39459389
5,9,5,11.4569795
6,9,5,11.37584668
1,9,6,11.42067493
2,9,6,11.39774942
3,9,6,11.33515428
4,9,6,11.3714199
5,9,6,11.45214875
6,9,6,11.41874463
1,9,7,11.42563712
2,9,7,11.41047979
3,9,7,11.39266632
4,9,7,11.38282385
5,9,7,11.41879225
6,9,7,11.43038758
1,9,8,11.39676255
2,9,8,11.43286056
3,9,8,11.413566
4,9,8,11.41158174
5,9,8,11.41043417
6,9,8,11.4474381
1,9,9,11.41223116
2,9,9,11.42915246
3,9,9,11.34642509
4,9,9,11.42270646
5,9,9,11.40776383
6,9,9,11.43378221
